iter,train_mse
1003,0.571248
1004,0.571246
1005,0.571245
1006,0.571243
1007,0.571241
1008,0.571239
1009,0.571238
1010,0.571236
1011,0.571234
1012,0.571232
1013,0.57123
1014,0.571229
1015,0.571227
1016,0.571225
1017,0.571223
1018,0.571222
1019,0.57122
1020,0.571218
1021,0.571216
1022,0.571215
1023,0.571213
1024,0.571211
1025,0.571209
1026,0.571208
1027,0.571206
1028,0.571204
1029,0.571202
1030,0.571201
1031,0.571199
1032,0.571197
1033,0.571196
1034,0.571194
1035,0.571192
1036,0.57119
1037,0.571189
1038,0.571187
1039,0.571185
1040,0.571183
1041,0.571182
1042,0.57118
1043,0.571178
1044,0.571177
1045,0.571175
1046,0.571173
1047,0.571171
1048,0.57117
1049,0.571168
1050,0.571166
1051,0.571165
1052,0.571163
1053,0.571161
1054,0.571159
1055,0.571158
1056,0.571156
1057,0.571154
1058,0.571153
1059,0.571151
1060,0.571149
1061,0.571148
1062,0.571146
1063,0.571144
1064,0.571143
1065,0.571141
1066,0.571139
1067,0.571137
1068,0.571136
1069,0.571134
1070,0.571132
1071,0.571131
1072,0.571129
1073,0.571127
1074,0.571126
1075,0.571124
1076,0.571122
1077,0.571121
1078,0.571119
1079,0.571117
1080,0.571116
1081,0.571114
1082,0.571112
1083,0.571111
1084,0.571109
1085,0.571107
1086,0.571106
1087,0.571104
1088,0.571103
1089,0.571101
1090,0.571099
1091,0.571098
1092,0.571096
1093,0.571094
1094,0.571093
1095,0.571091
1096,0.571089
1097,0.571088
1098,0.571086
1099,0.571084
1100,0.571083
1101,0.571081
1102,0.57108
1103,0.571078
1104,0.571076
1105,0.571075
1106,0.571073
1107,0.571071
1108,0.57107
1109,0.571068
1110,0.571067
1111,0.571065
1112,0.571063
1113,0.571062
1114,0.57106
1115,0.571058
1116,0.571057
1117,0.571055
1118,0.571054
1119,0.571052
1120,0.57105
1121,0.571049
1122,0.571047
1123,0.571046
1124,0.571044
1125,0.571042
1126,0.571041
1127,0.571039
1128,0.571038
1129,0.571036
1130,0.571034
1131,0.571033
1132,0.571031
1133,0.57103
1134,0.571028
1135,0.571027
1136,0.571025
1137,0.571023
1138,0.571022
1139,0.57102
1140,0.571019
1141,0.571017
1142,0.571015
1143,0.571014
1144,0.571012
1145,0.571011
1146,0.571009
1147,0.571008
1148,0.571006
1149,0.571004
1150,0.571003
1151,0.571001
1152,0.571
1153,0.570998
1154,0.570997
1155,0.570995
1156,0.570994
1157,0.570992
1158,0.57099
1159,0.570989
1160,0.570987
1161,0.570986
1162,0.570984
1163,0.570983
1164,0.570981
1165,0.57098
1166,0.570978
1167,0.570977
1168,0.570975
1169,0.570973
1170,0.570972
1171,0.57097
1172,0.570969
1173,0.570967
1174,0.570966
1175,0.570964
1176,0.570963
1177,0.570961
1178,0.57096
1179,0.570958
1180,0.570957
1181,0.570955
1182,0.570954
1183,0.570952
1184,0.570951
1185,0.570949
1186,0.570948
1187,0.570946
1188,0.570944
1189,0.570943
1190,0.570941
1191,0.57094
1192,0.570938
1193,0.570937
1194,0.570935
1195,0.570934
1196,0.570932
1197,0.570931
1198,0.570929
1199,0.570928
1200,0.570926
1201,0.570925
1202,0.570923
1203,0.570922
1204,0.57092
1205,0.570919
1206,0.570917
1207,0.570916
1208,0.570915
1209,0.570913
1210,0.570912
1211,0.57091
1212,0.570909
1213,0.570907
1214,0.570906
1215,0.570904
1216,0.570903
1217,0.570901
1218,0.5709
1219,0.570898
1220,0.570897
1221,0.570895
1222,0.570894
1223,0.570892
1224,0.570891
1225,0.570889
1226,0.570888
1227,0.570887
1228,0.570885
1229,0.570884
1230,0.570882
1231,0.570881
1232,0.570879
1233,0.570878
1234,0.570876
1235,0.570875
1236,0.570873
1237,0.570872
1238,0.570871
1239,0.570869
1240,0.570868
1241,0.570866
1242,0.570865
1243,0.570863
1244,0.570862
1245,0.57086
1246,0.570859
1247,0.570858
1248,0.570856
1249,0.570855
1250,0.570853
1251,0.570852
1252,0.57085
1253,0.570849
1254,0.570848
1255,0.570846
1256,0.570845
1257,0.570843
1258,0.570842
1259,0.57084
1260,0.570839
1261,0.570838
1262,0.570836
1263,0.570835
1264,0.570833
1265,0.570832
1266,0.570831
1267,0.570829
1268,0.570828
1269,0.570826
1270,0.570825
1271,0.570823
1272,0.570822
1273,0.570821
1274,0.570819
1275,0.570818
1276,0.570816
1277,0.570815
1278,0.570814
1279,0.570812
1280,0.570811
1281,0.570809
1282,0.570808
1283,0.570807
1284,0.570805
1285,0.570804
1286,0.570803
1287,0.570801
1288,0.5708
1289,0.570798
1290,0.570797
1291,0.570796
1292,0.570794
1293,0.570793
1294,0.570791
1295,0.57079
1296,0.570789
1297,0.570787
1298,0.570786
1299,0.570785
1300,0.570783
1301,0.570782
1302,0.57078
1303,0.570779
1304,0.570778
1305,0.570776
1306,0.570775
1307,0.570774
1308,0.570772
1309,0.570771
1310,0.57077
1311,0.570768
1312,0.570767
1313,0.570765
1314,0.570764
1315,0.570763
1316,0.570761
1317,0.57076
1318,0.570759
1319,0.570757
1320,0.570756
1321,0.570755
1322,0.570753
1323,0.570752
1324,0.570751
1325,0.570749
1326,0.570748
1327,0.570747
1328,0.570745
1329,0.570744
1330,0.570743
1331,0.570741
1332,0.57074
1333,0.570739
1334,0.570737
1335,0.570736
1336,0.570735
1337,0.570733
1338,0.570732
1339,0.570731
1340,0.570729
1341,0.570728
1342,0.570727
1343,0.570725
1344,0.570724
1345,0.570723
1346,0.570721
1347,0.57072
1348,0.570719
1349,0.570717
1350,0.570716
1351,0.570715
1352,0.570714
1353,0.570712
1354,0.570711
1355,0.57071
1356,0.570708
1357,0.570707
1358,0.570706
1359,0.570704
1360,0.570703
1361,0.570702
1362,0.570701
1363,0.570699
1364,0.570698
1365,0.570697
1366,0.570695
1367,0.570694
1368,0.570693
1369,0.570691
1370,0.57069
1371,0.570689
1372,0.570688
1373,0.570686
1374,0.570685
1375,0.570684
1376,0.570682
1377,0.570681
1378,0.57068
1379,0.570679
1380,0.570677
1381,0.570676
1382,0.570675
1383,0.570674
1384,0.570672
1385,0.570671
1386,0.57067
1387,0.570668
1388,0.570667
1389,0.570666
1390,0.570665
1391,0.570663
1392,0.570662
1393,0.570661
1394,0.57066
